                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.4327,                 1.0523,                0.82238,                0.54589,                0.65714,                0.47208,                0.21362,                 1.4448,                 2.0563,                0.51543,                 0.0928,                 0.0008,                 0.0008
                      1,                 1.5458,                 1.0702,                0.82138,                0.54226,                0.73333,                 0.4783,                0.20451,                 1.5586,                 2.0572,                0.51669,               0.084683,              0.0016832,              0.0016832
                      2,                 1.5261,                 1.0477,                  0.817,                0.55127,                 0.6669,                0.48257,                0.22089,                 1.4422,                 2.0493,                0.51541,               0.076549,              0.0025485,              0.0025485
                      3,                 1.5884,                 1.0347,                0.82583,                0.49926,                0.71218,                 0.4533,                0.16192,                 1.6152,                 2.1721,                0.51329,               0.068396,               0.003396,               0.003396
                      4,                 1.6352,                 1.0561,                0.83179,                0.48605,                0.68571,                0.46373,                0.17239,                 1.8183,                 2.4032,                 0.5242,               0.060226,              0.0042258,              0.0042258
                      5,                 1.7403,                 1.1075,                0.84062,                0.52077,                0.65714,                0.47098,                0.16807,                 1.7873,                 2.1646,                 0.5354,               0.052038,              0.0050376,              0.0050376
                      6,                 1.8187,                 1.0675,                0.84577,                0.45972,                0.73333,                0.42437,                0.16862,                 1.8985,                 2.2818,                0.53353,               0.043832,              0.0058317,              0.0058317
                      7,                 1.7622,                 1.0887,                0.85829,                0.46304,                0.65714,                0.40272,                0.13812,                 1.8114,                 2.2271,                 0.5438,               0.035608,               0.006608,               0.006608
                      8,                 1.9652,                 1.1598,                 0.8577,                0.56861,                0.66667,                0.48796,                0.20051,                 1.8141,                 3.2875,                0.53409,               0.027366,              0.0073664,              0.0073664
                      9,                 1.8513,                 1.2934,                0.85362,                0.48004,                 0.7122,                0.43191,                0.12074,                 2.0022,                 6.7316,                0.55629,               0.019107,               0.008107,               0.008107
                     10,                 1.9462,                 1.3665,                0.84999,                0.49222,                0.70476,                0.44712,                0.16595,                 1.7427,                 5.6401,                0.53503,                0.01083,              0.0088298,              0.0088298
                     11,                  2.115,                 1.3771,                0.87362,                0.47097,                0.57657,                0.43862,                 0.1215,                 2.2156,                 3.5985,                0.55596,               0.008911,               0.008911,               0.008911
                     12,                 2.2307,                 1.2599,                0.89286,                0.48121,                0.55656,                0.44357,                0.17289,                 1.6309,                 3.5051,                0.53126,               0.008911,               0.008911,               0.008911
                     13,                 2.0238,                 1.2484,                0.89345,                0.56409,                0.54286,                 0.5159,                0.19134,                 1.7565,                 2.1683,                0.52425,               0.008812,               0.008812,               0.008812
                     14,                 2.0335,                 1.3576,                 0.8776,                0.49318,                0.65714,                0.50435,                0.16887,                 1.8613,                 2.0679,                0.53401,               0.008713,               0.008713,               0.008713
                     15,                 1.9732,                 1.1992,                0.87384,                0.47209,                0.62857,                0.50132,                0.18005,                 1.9708,                 2.8186,                0.54739,               0.008614,               0.008614,               0.008614
                     16,                 1.9696,                 1.2139,                0.87051,                0.54817,                0.67019,                0.52587,                0.21054,                 1.8278,                 3.2076,                  0.533,               0.008515,               0.008515,               0.008515
                     17,                 1.9192,                 1.2096,                0.87824,                 0.5153,                0.67619,                0.46598,                0.17998,                 1.8811,                  2.542,                0.53846,               0.008416,               0.008416,               0.008416
                     18,                 1.8775,                 1.1119,                0.85764,                0.52293,                0.71429,                0.51497,                0.17927,                 2.0146,                 2.1743,                0.54813,               0.008317,               0.008317,               0.008317
                     19,                 1.8854,                 1.1604,                0.87234,                0.48954,                0.66667,                0.48016,                0.18096,                 1.7263,                 2.0555,                0.53735,               0.008218,               0.008218,               0.008218
                     20,                 1.8513,                 1.0634,                 0.8609,                0.50946,                0.66271,                0.45114,                0.18573,                 1.7689,                 1.9358,                0.54858,               0.008119,               0.008119,               0.008119
                     21,                 1.7527,                  1.066,                0.85011,                0.56606,                0.70476,                0.46982,                0.19394,                 1.6672,                 2.1081,                0.54298,                0.00802,                0.00802,                0.00802
                     22,                  1.778,                 1.1062,                0.85995,                0.55985,                 0.6381,                0.45836,                0.17892,                 1.7276,                 2.2955,                0.54423,               0.007921,               0.007921,               0.007921
                     23,                 1.8546,                 1.0772,                0.85382,                0.46455,                0.75238,                0.42352,                0.16787,                 1.7302,                  2.125,                0.52745,               0.007822,               0.007822,               0.007822
                     24,                 1.7369,                 1.0081,                0.84348,                0.57527,                0.60628,                0.48052,                0.17329,                 1.8036,                 2.2737,                0.53466,               0.007723,               0.007723,               0.007723
                     25,                 1.7637,                 1.0174,                0.83891,                0.59353,                0.62581,                 0.5226,                0.22313,                 1.7819,                  2.624,                 0.5346,               0.007624,               0.007624,               0.007624
                     26,                 1.6289,                  1.046,                0.83934,                0.58896,                0.67619,                0.50652,                0.22091,                 1.7192,                 2.0513,                0.54058,               0.007525,               0.007525,               0.007525
                     27,                 1.7527,                 1.0031,                0.84477,                0.49996,                0.72381,                0.53617,                0.22534,                 1.6652,                 2.2265,                0.53714,               0.007426,               0.007426,               0.007426
                     28,                 1.7246,                 1.0202,                0.84527,                0.55306,                0.62464,                0.52161,                0.19845,                 1.6644,                 2.1644,                0.52331,               0.007327,               0.007327,               0.007327
                     29,                 1.6268,                 1.0234,                 0.8314,                0.54794,                0.64762,                0.51107,                0.22218,                 1.6792,                 2.8248,                0.51909,               0.007228,               0.007228,               0.007228
                     30,                 1.5833,                0.97859,                0.84505,                0.50159,                0.69009,                0.48712,                0.19514,                 1.7007,                 2.7825,                0.52532,               0.007129,               0.007129,               0.007129
                     31,                 1.6947,                0.94323,                 0.8402,                0.55397,                0.66243,                0.49021,                0.22832,                 1.6049,                 1.8325,                0.53335,                0.00703,                0.00703,                0.00703
                     32,                 1.6135,                0.91515,                0.83658,                0.53212,                0.64989,                0.48912,                0.21961,                 1.6646,                 1.9508,                0.52202,               0.006931,               0.006931,               0.006931
                     33,                 1.5432,                 0.8778,                 0.8218,                0.57878,                0.65714,                0.50289,                0.21914,                  1.661,                 1.8738,                0.52584,               0.006832,               0.006832,               0.006832
                     34,                 1.6322,                0.94261,                0.83178,                0.56706,                0.68571,                0.53369,                0.22489,                 1.5855,                 1.9246,                0.51163,               0.006733,               0.006733,               0.006733
                     35,                 1.6167,                0.97037,                0.83655,                0.57541,                0.72381,                0.54734,                0.23578,                 1.5806,                 1.9938,                0.51673,               0.006634,               0.006634,               0.006634
                     36,                 1.5951,                0.89389,                0.83762,                0.59091,                0.67619,                0.51966,                0.22649,                 1.4884,                 1.9926,                0.51101,               0.006535,               0.006535,               0.006535
                     37,                  1.503,                0.91533,                0.84014,                0.53662,                0.66667,                0.48588,                  0.193,                 1.5033,                 1.8215,                0.51991,               0.006436,               0.006436,               0.006436
                     38,                 1.5409,                0.87943,                0.83886,                0.56974,                0.67619,                0.50028,                0.19236,                 1.6052,                 2.0021,                0.51323,               0.006337,               0.006337,               0.006337
                     39,                 1.5221,                0.87301,                0.83447,                 0.5005,                0.72381,                0.48482,                 0.1914,                 1.6066,                 1.9327,                0.51208,               0.006238,               0.006238,               0.006238
                     40,                 1.5406,                0.85694,                0.82973,                0.58743,                0.63733,                0.52281,                0.23431,                 1.5432,                 1.6961,                0.52591,               0.006139,               0.006139,               0.006139
                     41,                 1.4874,                0.86763,                0.81556,                0.55824,                0.65714,                0.51402,                0.24161,                 1.5939,                 1.6643,                0.52475,                0.00604,                0.00604,                0.00604
                     42,                 1.4473,                0.88114,                0.82353,                0.55925,                0.62857,                0.48987,                0.21245,                 1.5569,                 2.0284,                0.52033,               0.005941,               0.005941,               0.005941
                     43,                 1.5358,                0.89292,                0.81979,                0.54191,                0.70476,                0.49238,                 0.2303,                  1.596,                  1.688,                0.51968,               0.005842,               0.005842,               0.005842
                     44,                 1.4712,                0.85681,                0.83089,                0.55666,                0.75336,                0.53231,                0.25496,                 1.5262,                  1.664,                0.52434,               0.005743,               0.005743,               0.005743
                     45,                 1.4472,                0.83205,                0.82008,                0.59365,                0.68571,                0.49327,                0.23791,                 1.4273,                 1.7629,                0.52211,               0.005644,               0.005644,               0.005644
                     46,                 1.4097,                0.83949,                0.82129,                0.53964,                0.73683,                0.52384,                0.25147,                 1.5157,                  1.784,                0.51562,               0.005545,               0.005545,               0.005545
                     47,                  1.479,                0.85411,                0.82445,                0.54718,                0.68571,                0.56701,                0.28861,                 1.4796,                 1.6984,                0.52096,               0.005446,               0.005446,               0.005446
                     48,                 1.3624,                0.80195,                0.80919,                0.59865,                0.61905,                 0.5451,                0.29121,                 1.3855,                 1.6901,                0.52436,               0.005347,               0.005347,               0.005347
                     49,                 1.4278,                0.80841,                0.81474,                0.61257,                 0.6381,                0.57343,                0.30373,                 1.3204,                 1.7161,                0.51606,               0.005248,               0.005248,               0.005248
                     50,                 1.4309,                0.78871,                0.81943,                0.61538,                0.65524,                0.52861,                0.25506,                  1.394,                  1.681,                0.50964,               0.005149,               0.005149,               0.005149
                     51,                 1.4019,                0.78482,                 0.8187,                0.60481,                0.62857,                0.53251,                0.28288,                 1.3117,                 1.7006,                0.51464,                0.00505,                0.00505,                0.00505
                     52,                 1.3822,                0.81531,                0.80964,                0.61595,                    0.6,                0.53832,                0.27754,                 1.3483,                 1.7325,                0.51246,               0.004951,               0.004951,               0.004951
                     53,                 1.3279,                0.75833,                0.81488,                0.60491,                0.61905,                0.52351,                0.25702,                 1.4134,                 1.7738,                0.51067,               0.004852,               0.004852,               0.004852
                     54,                 1.3702,                0.81153,                0.81571,                0.58275,                0.65178,                0.53958,                0.26717,                 1.3853,                 1.7754,                0.51111,               0.004753,               0.004753,               0.004753
                     55,                 1.3264,                0.77775,                 0.8092,                0.61742,                0.60952,                0.52536,                 0.2775,                 1.3193,                 1.8077,                0.50958,               0.004654,               0.004654,               0.004654
                     56,                 1.4002,                0.78627,                 0.8125,                0.59738,                0.60952,                0.50489,                0.27559,                 1.3223,                 1.5972,                0.51384,               0.004555,               0.004555,               0.004555
                     57,                 1.2405,                0.75691,                0.80871,                0.61374,                0.62857,                0.53919,                0.27516,                  1.422,                 1.6883,                0.50861,               0.004456,               0.004456,               0.004456
                     58,                 1.3519,                 0.7752,                0.82494,                0.61537,                0.60952,                0.52036,                0.24638,                 1.4708,                 1.8029,                0.50692,               0.004357,               0.004357,               0.004357
                     59,                 1.3414,                0.75835,                0.81837,                0.59811,                0.62366,                0.55855,                 0.3001,                 1.4034,                 1.7491,                0.51227,               0.004258,               0.004258,               0.004258
                     60,                 1.3674,                0.76013,                 0.8062,                0.63213,                0.58095,                0.55889,                0.28936,                 1.3648,                 1.7531,                0.50909,               0.004159,               0.004159,               0.004159
                     61,                   1.31,                0.75742,                 0.8163,                0.63918,                0.58095,                0.55142,                0.28321,                 1.3201,                 1.6662,                0.50734,                0.00406,                0.00406,                0.00406
                     62,                 1.3248,                0.77091,                0.81161,                 0.6307,                0.60952,                0.57505,                 0.3209,                 1.2914,                 1.6527,                0.51205,               0.003961,               0.003961,               0.003961
                     63,                 1.3355,                0.75421,                0.81626,                 0.6301,                0.61905,                0.56887,                0.29985,                  1.297,                 1.6516,                0.51028,               0.003862,               0.003862,               0.003862
                     64,                 1.2778,                0.72548,                0.81304,                0.63429,                0.61905,                0.56267,                0.29384,                 1.2951,                 1.7662,                0.50927,               0.003763,               0.003763,               0.003763
                     65,                 1.2192,                0.74499,                0.81833,                0.63486,                0.61905,                0.56316,                0.29932,                 1.2876,                 1.6093,                0.51099,               0.003664,               0.003664,               0.003664
                     66,                 1.3132,                 0.7259,                 0.8046,                0.57623,                0.66667,                0.55098,                0.28698,                 1.3546,                 1.6495,                0.51108,               0.003565,               0.003565,               0.003565
                     67,                 1.2776,                 0.7193,                0.80559,                0.58278,                0.66517,                0.53219,                0.26654,                 1.2891,                 1.6665,                0.51344,               0.003466,               0.003466,               0.003466
                     68,                 1.2132,                0.74704,                0.80183,                0.60978,                    0.6,                0.52583,                0.26353,                 1.3421,                 1.5958,                0.50995,               0.003367,               0.003367,               0.003367
                     69,                 1.2844,                0.73111,                0.81403,                 0.6232,                0.60952,                0.50296,                0.26899,                 1.3112,                 1.5871,                0.51509,               0.003268,               0.003268,               0.003268
                     70,                 1.2401,                0.71057,                0.80894,                0.60585,                0.60021,                0.51369,                0.27063,                 1.2642,                 1.6207,                0.51217,               0.003169,               0.003169,               0.003169
                     71,                 1.2971,                0.72297,                0.80431,                0.63078,                0.60952,                 0.5293,                0.28979,                 1.2215,                 1.5137,                0.51061,                0.00307,                0.00307,                0.00307
                     72,                 1.2215,                0.75064,                0.80771,                0.61316,                    0.6,                0.52245,                0.28784,                 1.2127,                 1.4925,                0.50683,               0.002971,               0.002971,               0.002971
                     73,                 1.1964,                0.71881,                0.81224,                0.61754,                    0.6,                0.51432,                0.27278,                  1.223,                 1.4718,                0.50641,               0.002872,               0.002872,               0.002872
                     74,                 1.1766,                0.72524,                0.81943,                0.64167,                0.61905,                0.57889,                0.34508,                 1.2097,                 1.4628,                0.50685,               0.002773,               0.002773,               0.002773
                     75,                 1.1693,                0.70409,                0.80685,                0.63703,                0.60952,                0.54839,                0.31831,                 1.1849,                 1.4708,                 0.5071,               0.002674,               0.002674,               0.002674
                     76,                 1.2546,                 0.7027,                0.79874,                0.64234,                0.60952,                0.55732,                0.32862,                 1.2277,                 1.4831,                0.50654,               0.002575,               0.002575,               0.002575
                     77,                 1.2545,                0.70096,                0.80878,                 0.6557,                0.62857,                0.56936,                 0.3273,                  1.189,                  1.553,                0.50174,               0.002476,               0.002476,               0.002476
                     78,                 1.1675,                0.69799,                0.79909,                0.66315,                0.62857,                 0.5659,                0.33322,                 1.1736,                 1.5201,                0.50864,               0.002377,               0.002377,               0.002377
                     79,                 1.2085,                0.69758,                0.80368,                 0.6614,                0.61905,                0.55869,                0.34665,                 1.1218,                 1.5602,                0.51073,               0.002278,               0.002278,               0.002278
                     80,                 1.1918,                 0.7007,                0.79964,                 0.6391,                    0.6,                0.52212,                 0.3022,                 1.1271,                 1.5499,                0.51138,               0.002179,               0.002179,               0.002179
                     81,                 1.1526,                0.70427,                0.79956,                0.63389,                0.61012,                0.48315,                0.27148,                 1.1113,                 1.5114,                0.51099,                0.00208,                0.00208,                0.00208
                     82,                 1.2354,                0.70244,                0.81087,                0.63583,                0.60952,                0.47386,                0.28025,                 1.1342,                 1.4846,                0.50802,               0.001981,               0.001981,               0.001981
                     83,                 1.1898,                0.69716,                0.79805,                0.63328,                0.60952,                0.49379,                 0.2857,                  1.101,                 1.5302,                0.50739,               0.001882,               0.001882,               0.001882
                     84,                 1.1603,                0.71438,                0.79422,                0.63345,                0.60952,                0.47979,                0.27675,                 1.1324,                 1.5595,                0.50711,               0.001783,               0.001783,               0.001783
                     85,                 1.1524,                0.68013,                0.79953,                0.64236,                0.61583,                0.49946,                0.27977,                 1.1502,                  1.552,                0.50752,               0.001684,               0.001684,               0.001684
                     86,                 1.0982,                0.69488,                0.80495,                0.64014,                0.60991,                 0.5015,                0.28308,                 1.1703,                 1.5315,                0.50727,               0.001585,               0.001585,               0.001585
                     87,                 1.1376,                0.67843,                0.78524,                0.62054,                    0.6,                0.48902,                0.28044,                  1.187,                 1.5469,                0.50229,               0.001486,               0.001486,               0.001486
                     88,                 1.0864,                0.71619,                0.79917,                0.62483,                0.60952,                 0.4951,                0.29976,                 1.1255,                 1.5193,                0.50209,               0.001387,               0.001387,               0.001387
                     89,                 1.0725,                0.68377,                 0.7969,                 0.6261,                0.61905,                 0.5572,                0.32855,                 1.1517,                 1.5447,                0.50217,               0.001288,               0.001288,               0.001288
                     90,                 1.0937,                0.70451,                0.79773,                0.65947,                0.62857,                0.54804,                0.33036,                 1.1239,                 1.5426,                0.50339,               0.001189,               0.001189,               0.001189
                     91,                 1.1084,                0.69891,                0.79364,                0.60057,                0.67303,                0.53977,                0.34187,                 1.1024,                 1.5118,                 0.5028,                0.00109,                0.00109,                0.00109
                     92,                 1.0856,                0.69137,                0.79356,                0.59589,                0.64602,                0.53634,                0.32955,                 1.0995,                 1.4996,                0.50304,               0.000991,               0.000991,               0.000991
                     93,                 1.0683,                0.68223,                0.78909,                0.59758,                0.65058,                0.51573,                 0.3124,                 1.1305,                 1.5338,                0.50179,               0.000892,               0.000892,               0.000892
                     94,                 1.0892,                0.68052,                0.79044,                0.60921,                0.62857,                0.51984,                0.31776,                 1.1627,                 1.5174,                0.50301,               0.000793,               0.000793,               0.000793
                     95,                 1.0743,                0.70472,                0.79695,                0.60392,                0.64762,                0.51422,                0.31001,                 1.1444,                 1.4933,                0.50459,               0.000694,               0.000694,               0.000694
                     96,                 1.1057,                0.67855,                 0.8014,                0.59002,                0.60952,                0.51706,                0.32634,                 1.1255,                 1.4988,                  0.506,               0.000595,               0.000595,               0.000595
                     97,                 1.0668,                 0.6572,                0.80415,                0.64474,                 0.6568,                0.57936,                  0.353,                 1.1321,                 1.4924,                0.50615,               0.000496,               0.000496,               0.000496
                     98,                 1.0719,                0.66562,                0.79834,                0.63258,                0.60672,                0.53518,                0.34112,                 1.1193,                 1.5041,                0.50687,               0.000397,               0.000397,               0.000397
                     99,                 1.0866,                0.67287,                0.80149,                0.63899,                0.60952,                0.54193,                0.33511,                 1.1024,                 1.4624,                0.50691,               0.000298,               0.000298,               0.000298
